ensembl_gene_id,hgnc_symbol,chromosome_name,start_region,end_region
ENSG00000184371,CSF1,1,110447864,110478614
ENSG00000125703,ATG4C,1,63244806,63336184
"ENSG00000215811,rs1925714","BTNL10,rs1925714",1,228691356,228708289
ENSG00000121931,LRIF1,1,111484807,111511701
ENSG00000202056,RNA5SP19,1,228738494,228748602
ENSG00000215800,RSL24D1P4,1,242930922,242941405
rs6676375,rs6676375,1,242869885,242879885
ENSG00000088832,FKBP1A,20,1344622,1378806
ENSG00000100985,MMP9,20,44632547,44650200
ENSG00000101204,CHRNA4,20,61970420,62014753
ENSG00000124225,PMEPA1,20,56218448,56291592
"ENSG00000166948,rs6114027","TGM6,rs6114027",20,2356554,2418399
ENSG00000196839,ADA,20,43243163,43285874
"ENSG00000171864,rs2756263","PRND,rs2756263",20,4697556,4714106
ENSG00000088926,F11,4,187182099,187215835
ENSG00000109471,IL2,4,123367625,123382880
ENSG00000137462,TLR2,4,154617652,154631851
ENSG00000138684,IL21,4,123528783,123547224
ENSG00000138792,ENPEP,4,111281889,111491441
ENSG00000151012,SLC7A11,4,139080251,139168503
ENSG00000151834,GABRA2,4,46245444,46482247
"ENSG00000154274,ENSG00000181826,rs2939731,rs2940989,rs2940991","C4orf19,RELL1,rs2939731,rs2940989,rs2940991",4,37450563,37692998
"ENSG00000159788,rs2269497","RGS12,rs2269497",4,3289755,3446640
ENSG00000163285,GABRG1,4,46032786,46131098
ENSG00000164305,CASP3,4,185543850,185575663
ENSG00000168769,TET2,4,106062032,106205973
ENSG00000169245,CXCL10,4,76937273,76949650
ENSG00000169429,IL8,4,74601223,74614433
"ENSG00000197386,ENSG00000188981","HTT,MSANTD1",4,3071408,3278465
ENSG00000216560,LINC00955,4,3573596,3597438
rs958617,rs958617,4,78600369,78610369
rs10005603,rs10005603,4,105839273,105849273
"ENSG00000090339,ENSG00000105371","ICAM1,ICAM4",19,10376511,10404198
ENSG00000090659,CD209,19,7799879,7817464
ENSG00000096996,IL12RB1,19,18164805,18214754
ENSG00000104870,FCGRT,19,50005073,50034590
ENSG00000105176,URI1,19,30409551,30511611
ENSG00000105388,CEACAM5,19,42207504,42238718
"ENSG00000105697,ENSG00000012124,ENSG00000105695","HAMP,CD22,MAG",19,35766619,35843258
ENSG00000181143,MUC16,19,8954520,9097018
"ENSG00000125498,ENSG00000243772,ENSG00000189013,ENSG00000221957,ENSG00000167633,ENSG00000240403,ENSG00000242019,ENSG00000186431,ENSG00000243772","KIR2DL1,KIR2DL3,KIR2DL4,KIR2DS4,KIR3DL1,KIR3DL2,KIR3DL3,FCAR,KIR2DL3",19,55230969,55406838
"ENSG00000167383,rs1434579","ZNF229,rs1434579",19,44916685,44957766
ENSG00000095303,PTGS1,9,125127824,125162982
ENSG00000099139,PCSK5,9,78500560,78982255
ENSG00000120217,CD274,9,5445503,5475566
ENSG00000136869,TLR4,9,120461610,120484149
ENSG00000137033,IL33,9,6210805,6262983
ENSG00000165688,PMPCA,9,139300110,139323213
ENSG00000171855,IFNB1,9,21072104,21082943
ENSG00000222693,RN7SKP120,9,25083809,25094149
rs586716,rs586716,9,22483678,22493678
rs1662230,rs1662230,9,25257831,25267831
"rs1854330,rs751303,rs10869606,rs11525994","rs1854330,rs751303,rs10869606,rs11525994",9,78218129,78240702
ENSG00000100292,HMOX1,22,35771354,35795207
ENSG00000100380,ST13,22,41215539,41258026
"ENSG00000128311,ENSG00000128309","TST,MPST",22,37401900,37430863
ENSG00000177663,IL17RA,22,17560844,17601583
ENSG00000100644,HIF1A,14,62157231,62219976
ENSG00000119715,ESRRB,14,76771957,76973178
ENSG00000182512,GLRX5,14,95994840,96016061
"ENSG00000213920,ENSG00000254505","MDP1,CHMP4A",14,24673789,24690276
ENSG00000258597,SERPINA2P,14,94825053,94838039
ENSG00000066739,ATG2B,14,96742595,96835207
ENSG00000200089,SNORD114-31,14,101454573,101464647
rs12437118,rs12437118,14,76978730,76988730
rs8005962,rs8005962,14,96022153,96032153
rs6575836,rs6575836,14,101674255,101684255
ENSG00000101773,RBBP8,18,20373224,20611451
ENSG00000166603,MC4R,18,58033564,58045001
ENSG00000265681,RPL17,18,47009851,47023906
ENSG00000134508,CABLES1,18,20709528,20845431
ENSG00000212710,CTAGE1,18,19988564,20002878
ENSG00000141448,GATA6,18,19744404,19787491
ENSG00000206827,RNU6-1032P,18,20222545,20232651
ENSG00000239490,RPS4XP18,18,20161428,20172190
rs4331426,rs4331426,18,20185795,20195795
rs4257308,rs4257308,18,58104190,58114190
"ENSG00000104312,ENSG00000251136,rs160441","RIPK2,,rs160441",8,90616638,90808291
ENSG00000104432,IL7,8,79582978,79722758
ENSG00000131203,IDO1,8,39754794,39790963
ENSG00000147485,PXDNL,8,52227138,52727005
"ENSG00000153317,rs4733781","ASAP1,rs4733781",8,131059353,131460906
ENSG00000156006,NAT2,8,18243755,18263728
ENSG00000158856,DMTN,8,21901506,21945038
ENSG00000164949,GEM,8,95256481,95279578
ENSG00000177243,DEFB103B,8,7281410,7292870
ENSG00000177257,DEFB4B,8,7267382,7279385
ENSG00000178860,MSC,8,72748784,72761703
ENSG00000156011,PSD3,8,18379811,18947240
ENSG00000198846,TOX,8,59712977,60036767
rs1495741,rs1495741,8,18267881,18277881
rs7821565,rs7821565,8,52211762,52221762
ENSG00000105855,ITGB8,7,20365325,20460377
ENSG00000122641,INHBA,7,41719712,41747706
ENSG00000133612,AGAP3,7,150777918,150846523
ENSG00000136244,IL6,7,22760503,22776621
"ENSG00000158467,rs7787531","AHCYL2,rs7787531",7,128859864,129075052
ENSG00000006128,TAC1,7,97356220,97374784
rs2665441,rs2665441,7,97449980,97459980
ENSG00000112115,IL17A,6,52046185,52060436
ENSG00000112116,IL17F,6,52096479,52114335
ENSG00000112715,VEGFA,6,43732921,43759224
ENSG00000112773,FAM46A,6,82196156,82467491
ENSG00000151914,DST,6,56317785,56824426
"ENSG00000164506,rs9373523","STXBP5,rs9373523",6,147520561,147711866
"ENSG00000198502,rs41553512","HLA-DRB5,rs41553512",6,32480120,32503064
ENSG00000198670,LPA,6,160947515,161092407
"ENSG00000232810,ENSG00000226979,ENSG00000227507,ENSG00000204475,ENSG00000204482","TNF,LTA,LTB,NCR3,LST1",6,31534831,31565762
"ENSG00000206503,ENSG00000230795,ENSG00000228078","HLA-A,HLA-K,HLA-U",6,29889236,29918661
ENSG00000234745,HLA-B,6,31316649,31329965
ENSG00000204525,HLA-C,6,31231526,31244907
"ENSG00000204257,ENSG00000242574","HLA-DMA,HLA-DMB",6,32897406,32941871
ENSG00000204252,HLA-DOA,6,32966955,32982389
ENSG00000241106,HLA-DOB,6,32775540,32789825
"ENSG00000231389,ENSG00000231461,ENSG00000223865","HLA-DPA1,HLA-DPA2,HLA-DPB1",6,33027346,33070072
"ENSG00000237398,ENSG00000224557","HLA-DPA3,HLA-DPB2",6,33075228,33116102
"ENSG00000196735,ENSG00000196735,rs28802989","HLA-DQA1,HLA-DQA1,rs28802989",6,32590956,32619839
"ENSG00000237541,ENSG00000232629,ENSG00000226030","HLA-DQA2,HLA-DQB2,HLA-DQB3",6,32693535,32736311
"ENSG00000179344,ENSG00000179344","HLA-DQB1,HLA-DQB1",6,32622244,32641160
"ENSG00000204287,ENSG00000204287","HLA-DRA,HLA-DRA",6,32402619,32417823
ENSG00000196126,HLA-DRB1,6,32541546,32562625
ENSG00000229391,HLA-DRB6,6,32515490,32532799
ENSG00000196301,HLA-DRB9,6,32422598,32446277
"ENSG00000204592,ENSG00000204592","HLA-E,HLA-E",6,30452244,30466982
ENSG00000204642,HLA-F,6,29685552,29711305
"ENSG00000204632,ENSG00000204632","HLA-G,HLA-G",6,29789744,29803902
"ENSG00000206341,ENSG00000231130","HLA-H,HLA-T",6,29850350,29870563
ENSG00000204622,HLA-J,6,29969360,29982733
ENSG00000243753,HLA-L,6,30222361,30265791
"ENSG00000224372,ENSG00000204599","HLA-N,TRIM39",6,30289256,30324327
"ENSG00000261548,ENSG00000181126","HLA-P,HLA-V",6,29753731,29775202
ENSG00000225851,HLA-S,6,31344851,31355065
ENSG00000235290,HLA-W,6,29919373,29931347
ENSG00000235301,HLA-Z,6,32859193,32869267
rs2505675,rs2505675,6,2350675,2360675
rs72993272,rs72993272,6,130175651,130185651
rs9365798,rs9365798,6,165290961,165300961
ENSG00000118113,MMP8,11,102577526,102602781
ENSG00000137673,MMP7,11,102386239,102406484
ENSG00000137745,MMP13,11,102808724,102831463
"ENSG00000137752,ENSG00000204397,ENSG00000137757","CASP1,CARD16,CASP5",11,104859962,104977158
ENSG00000182667,NTM,11,131235373,132211716
ENSG00000184937,WT1,11,32404321,32462176
"ENSG00000196611,ENSG00000166670","MMP1,MMP10",11,102636234,102673891
ENSG00000215182,MUC5AC,11,1146580,1227364
rs1819084,rs1819084,11,13991155,14001155
rs2057178,rs2057178,11,32359187,32369187
ENSG00000128951,DUT,15,48618208,48640570
ENSG00000166825,ANPEP,15,90323120,90363633
ENSG00000182256,GABRG3,15,27211429,27783373
ENSG00000186297,GABRA5,15,27106510,27199354
ENSG00000136160,EDNRB,13,78464616,78498903
ENSG00000172458,IL17D,13,21271266,21302237
ENSG00000189403,HMGB1,13,31027884,31196734
"ENSG00000171587,ENSG00000233756,rs11702781,rs2837857","DSCAM,DSCAM-IT1,rs11702781,rs2837857",21,41377926,42224065
rs2150367,rs2150367,21,16208169,16218169
"ENSG00000004139,ENSG00000109072,ENSG00000109072","SARM1,VTN,SEBOX",17,26686290,26733065
"ENSG00000005381,ENSG00000167419","MPO,LPO",17,56290909,56363296
ENSG00000030582,GRN,17,42417614,42435470
ENSG00000034152,MAP2K3,17,21182984,21223552
ENSG00000068120,COASY,17,40708485,40723295
ENSG00000108342,CSF3,17,38166614,38179066
ENSG00000108379,WNT3,17,44834872,44915520
ENSG00000108439,PNPO,17,46013872,46030654
ENSG00000108688,CCL7,17,32592240,32604261
ENSG00000108700,CCL8,17,32641055,32653421
ENSG00000108702,CCL1,17,32682347,32695250
ENSG00000109099,PMP22,17,15128095,15173643
ENSG00000121053,EPX,17,56265098,56287535
ENSG00000126353,CCR7,17,38705021,38726724
ENSG00000126368,NR1D1,17,38244040,38261978
ENSG00000126581,BECN1,17,40957152,40990367
ENSG00000132376,INPP5K,17,1392865,1425182
ENSG00000132383,RPA1,17,1727996,1808376
ENSG00000133195,SLC39A11,17,70637088,71093851
ENSG00000141510,TP53,17,7560097,7595856
ENSG00000159640,ACE,17,61549422,61604205
ENSG00000161513,FDXR,17,72853619,72874156
ENSG00000161653,NAGS,17,42076914,42091431
"ENSG00000168961,ENSG00000141068","LGALS9,KSR1",17,25778670,25981586
ENSG00000169710,FASN,17,80031214,80061208
ENSG00000170310,STX8,17,9148788,9484908
ENSG00000172156,CCL11,17,32607687,32620353
ENSG00000176170,SPHK1,17,74367665,74388941
ENSG00000183048,SLC25A10,17,79665404,79693042
ENSG00000186395,KRT10,17,38969369,38983847
ENSG00000256762,STH,17,44071616,44082060
"ENSG00000259384,ENSG00000204414","GH1,CSHL1",17,61981957,62001198
ENSG00000012048,BRCA1,17,41191312,41282500
ENSG00000035862,TIMP2,17,76844059,76926469
ENSG00000073861,TBX21,17,45805610,45828485
ENSG00000083290,ULK2,17,19669142,19776249
ENSG00000108773,KAT2A,17,40260126,40278376
ENSG00000108984,MAP2K6,17,67405839,67544472
ENSG00000129226,CD68,17,7477785,7490429
ENSG00000131473,ACLY,17,40018161,40091795
ENSG00000131482,G6PC,17,41047814,41070386
ENSG00000132382,MYBBP1A,17,4437192,4463926
ENSG00000132510,KDM6B,17,7738222,7763114
ENSG00000132514,CLEC10A,17,6972856,6988626
ENSG00000136436,CALCOCO2,17,46903350,46948884
ENSG00000141376,BCAS3,17,58749814,59475199
ENSG00000141505,ASGR1,17,7071750,7087883
ENSG00000141564,RPTOR,17,78513619,78945171
ENSG00000154229,PRKCA,17,64293754,64811861
ENSG00000154803,FLCN,17,17110526,17145502
ENSG00000161921,CXCL16,17,4631821,4648217
ENSG00000167085,PHB,17,47476414,47497246
ENSG00000167193,CRK,17,1318983,1371456
ENSG00000167711,SERPINF2,17,1641130,1663562
ENSG00000169689,STRA13,17,79971578,79986983
ENSG00000171345,KRT19,17,39674869,39689560
ENSG00000177885,GRB2,17,73309157,73406790
ENSG00000179029,TMEM107,17,8071555,8084717
ENSG00000183691,NOG,17,54666060,54677951
ENSG00000184009,ACTG1,17,79471997,79495873
ENSG00000184502,GAST,17,39863578,39877221
ENSG00000185624,P4HB,17,79796035,79823570
ENSG00000187775,DNAH17,17,76414778,76578476
ENSG00000196535,MYO18A,17,27395528,27512430
ENSG00000239697,TNFSF12,17,7447208,7469925
ENSG00000008294,SPAG9,17,49034535,49203226
ENSG00000068079,IFI35,17,41153742,41171473
ENSG00000072210,ALDH3A2,17,19546449,19585911
ENSG00000074660,SCARF1,17,1532152,1554041
ENSG00000108479,GALK1,17,73742675,73766792
ENSG00000108582,CPD,17,28700923,28802007
ENSG00000108823,SGCA,17,48236575,48258292
ENSG00000108839,ALOX12,17,6894384,6919055
ENSG00000108861,DUSP3,17,41838489,41861356
ENSG00000121101,TEX14,17,56629039,56774416
ENSG00000123700,KCNJ2,17,68159814,68181189
ENSG00000128482,RNF112,17,19309438,19325589
ENSG00000129214,SHBG,17,7512382,7541700
ENSG00000132530,XAF1,17,6653766,6683966
ENSG00000132535,DLG4,17,7088209,7128021
ENSG00000141293,SKAP1,17,46205802,46512637
ENSG00000141526,SLC16A3,17,80181273,80224005
ENSG00000141574,SECTM1,17,80273900,80296950
ENSG00000141576,RNF157,17,74133534,74241454
ENSG00000157637,SLC38A10,17,79213800,79274347
ENSG00000161533,ACOX1,17,73932588,73980515
ENSG00000161610,HCRT,17,40331078,40342470
ENSG00000161905,ALOX15,17,4529197,4550589
ENSG00000161944,ASGR2,17,6999641,7024019
ENSG00000167524,"",17,26929982,26946218
ENSG00000167720,SRR,17,2201677,2233554
ENSG00000168646,AXIN2,17,63519681,63562765
ENSG00000170190,SLC16A5,17,73078822,73107257
ENSG00000170296,GABARAP,17,7138333,7151089
ENSG00000170425,ADORA2B,17,15843231,15884060
ENSG00000171298,GAA,17,78070355,78098678
ENSG00000171401,KRT13,17,39652233,39666957
ENSG00000173757,STAT5B,17,40346186,40433725
ENSG00000173821,RNF213,17,78229665,78377586
ENSG00000176749,CDK5R1,17,30808637,30823274
ENSG00000180340,FZD2,17,42629925,42641907
"ENSG00000181481,ENSG00000184060","RNF135,ADAP2",17,29228362,29331929
ENSG00000182853,VMO1,17,4683580,4694728
ENSG00000183688,FAM101B,17,284769,300730
ENSG00000188554,NBR1,17,41317498,41368708
ENSG00000189120,SP6,17,45917279,45938240
ENSG00000197079,KRT35,17,39627941,39642392
ENSG00000221926,TRIM16,17,15526274,15592625
ENSG00000267123,"",17,76608471,76633139
ENSG00000004779,NDUFAB1,16,23587323,23612677
"ENSG00000006210,ENSG00000102962","CX3CL1,CCL22",16,57387684,57423960
ENSG00000013364,MVP,16,29826715,29864355
"ENSG00000015413,ENSG00000131165","DPEP1,CHMP1A",16,89674716,89729253
ENSG00000050820,BCAR1,16,75257928,75306951
ENSG00000051523,CYBA,16,88704691,88722560
"ENSG00000087245,ENSG00000087253","MMP2,LPCAT2",16,55418612,55625582
ENSG00000087250,MT3,16,56617986,56630000
"ENSG00000102879,ENSG00000261052","CORO1A,SULT1A3",16,30189148,30220631
ENSG00000102882,MAPK3,16,30120426,30139827
"ENSG00000102908,ENSG00000181019","NFAT5,NQO1",16,69593997,69765854
ENSG00000102970,CCL17,16,57433679,57454974
ENSG00000103066,PLA2G15,16,68274207,68299961
ENSG00000103150,MLYCD,16,83927731,83954787
ENSG00000103257,SLC7A5,16,87858629,87908094
"ENSG00000103313,ENSG00000010539","MEFV,ZNF200",16,3267325,3311627
"ENSG00000103356,ENSG00000103365","EARS2,GGA2",16,23469863,23574052
ENSG00000103381,CPPED1,16,12751919,12902874
"ENSG00000103485,ENSG00000197471","QPRT,SPN",16,29669300,29715020
"ENSG00000103490,ENSG00000089280","PYCARD,FUS",16,31186431,31219771
ENSG00000140718,FTO,16,53732875,54160853
ENSG00000140943,MBTPS1,16,84082368,84155511
ENSG00000149923,PPP4C,16,30082299,30101698
ENSG00000166501,PRKCB,16,23842322,24236932
ENSG00000167397,VKORC1,16,31097163,31112301
ENSG00000171490,RSL1D1,16,11924056,11950442
ENSG00000172530,BANP,16,87977850,88115924
ENSG00000177455,CD19,16,28938260,28955667
ENSG00000179583,CIITA,16,10966055,11031079
ENSG00000188603,CLN3,16,28472983,28511896
ENSG00000213658,LAT,16,28991147,29007104
"ENSG00000257017,ENSG00000261701,ENSG00000140830","HP,HPR,TXNL4B",16,72073188,72133330
ENSG00000005187,ACSM3,16,20616565,20813903
ENSG00000005844,ITGAL,16,30478979,30539506
ENSG00000067836,ROGDI,16,4841969,4857951
ENSG00000070729,CNGB1,16,57912503,58010020
ENSG00000077238,IL4R,16,27319989,27381099
ENSG00000102891,MT4,16,56593961,56607869
"ENSG00000102977,ENSG00000159753","ACD,RLTPR",16,67673822,67699713
ENSG00000103044,HAS3,16,69134467,69157622
ENSG00000103197,TSC2,16,2092466,2143716
ENSG00000103254,FAM173A,16,765581,777601
ENSG00000103502,CDIPT,16,29864678,29880057
"ENSG00000122390,rs40363","NAA60,rs40363",16,3488611,3541963
ENSG00000125166,GOT2,16,58736035,58773261
"ENSG00000127554,ENSG00000127561","GFER,SYNGR3",16,2029208,2049276
ENSG00000127585,FBXL16,16,737500,760829
ENSG00000140678,ITGAX,16,31361455,31399318
ENSG00000140995,DEF8,16,90009333,90039468
ENSG00000149932,TMEM219,16,29947206,29989373
ENSG00000154099,DNAAF1,16,84173865,84217373
ENSG00000159461,AMFR,16,56390364,56464450
ENSG00000162066,AMDHD2,16,2565358,2586423
"ENSG00000166971,ENSG00000103479","AKTIP,RBL2",16,53462889,53543323
ENSG00000169896,ITGAM,16,31266311,31349213
ENSG00000178279,TNP2,16,11356605,11368390
ENSG00000178573,MAF,16,79614740,79639611
ENSG00000184207,PGP,16,2256998,2269808
ENSG00000185739,SRL,16,4234375,4297081
ENSG00000185947,ZNF267,16,31880079,31933668
ENSG00000189067,LITAF,16,11636853,11735237
ENSG00000197912,SPG7,16,89552325,89629176
ENSG00000197943,PLCG2,16,81767702,81996899
ENSG00000198736,MSRB1,16,1983211,1998327
ENSG00000198848,CES1,16,55831763,55872249
ENSG00000205361,MT1DP,16,56672617,56683698
ENSG00000213853,EMP2,16,10617279,10679555
ENSG00000213918,DNASE1,16,3656729,3735144
ENSG00000232196,MTRNR2L4,16,3416053,3427283
ENSG00000005339,CREBBP,16,3770055,3935727
ENSG00000039068,CDH1,16,68766128,68874451
ENSG00000065427,KARS,16,75656622,75687541
ENSG00000087237,CETP,16,56990762,57022757
ENSG00000090861,AARS,16,70281198,70328446
ENSG00000102854,MSLN,16,805762,823865
ENSG00000102921,N4BP1,16,48567637,48659059
ENSG00000102967,DHODH,16,72037487,72063954
ENSG00000103196,CRISPLD2,16,84848590,84959374
ENSG00000118898,PPL,16,4927508,5015742
ENSG00000125148,MT2A,16,56637111,56648409
ENSG00000140941,MAP1LC3B,16,87412601,87443385
ENSG00000141012,GALNS,16,88875142,88928378
ENSG00000155330,C16orf87,16,46825519,46870323
ENSG00000166123,GPT2,16,46913290,46970209
ENSG00000167261,DPEP2,16,68016297,68039489
ENSG00000174990,CA5A,16,87916625,87975135
ENSG00000197165,SULT1A2,16,28598264,28613430
ENSG00000205730,ITPRIPL2,16,19120254,19137946
ENSG00000067715,SYT1,12,79252773,79850788
ENSG00000075415,SLC25A3,12,98982369,99000946
ENSG00000076248,UNG,12,109530379,109553797
"ENSG00000084110,ENSG00000111144","HAL,LTA4H",12,96361440,96442298
ENSG00000089234,BRAP,12,112074950,112128790
ENSG00000102189,EEA1,12,93159413,93328107
ENSG00000110799,VWF,12,6053040,6238936
ENSG00000110848,CD69,12,9900082,9918497
ENSG00000110911,SLC11A2,12,51368184,51427349
"ENSG00000111266,ENSG00000165714","DUSP16,LOH12CR1",12,12505013,12720317
ENSG00000111536,IL26,12,68590131,68624601
ENSG00000111640,GAPDH,12,6638093,6652537
ENSG00000111674,ENO2,12,7017909,7037861
ENSG00000111729,CLEC4A,12,8271228,8296203
"ENSG00000121316,ENSG00000171681","PLBD1,ATF7IP",12,14513610,14726283
ENSG00000123405,NFE2,12,54680895,54699905
ENSG00000134531,EMP1,12,13344650,13374708
ENSG00000134538,SLCO1B1,12,21279136,21397180
ENSG00000135404,CD63,12,56114107,56128491
ENSG00000135678,CPM,12,69230977,69370350
ENSG00000139117,CPNE8,12,39035624,39306232
ENSG00000139187,KLRG1,12,9097640,9168356
ENSG00000139193,CD27,12,6549033,6565884
ENSG00000139572,GPR84,12,54751229,54763271
ENSG00000139651,ZNF740,12,53569484,53589596
ENSG00000152556,PFKM,12,48493922,48545187
ENSG00000161638,ITGA5,12,54784045,54818244
ENSG00000166523,CLEC4E,12,8680901,8698559
ENSG00000166527,CLEC4D,12,8657071,8679962
"ENSG00000166986,ENSG00000111087","MARS,GLI1",12,57848918,57916352
ENSG00000170890,PLA2G1B,12,120754914,120770592
ENSG00000172243,CLEC7A,12,10264376,10287857
ENSG00000172322,CLEC12A,12,10098915,10153293
ENSG00000175899,A2M,12,9215260,9273825
ENSG00000177169,ULK1,12,132374196,132412712
"ENSG00000177575,ENSG00000177675","CD163,CD163L1",12,7494281,7661489
ENSG00000179715,PCED1B,12,47468386,47635443
ENSG00000184445,KNTC1,12,123006793,123115943
"ENSG00000188596,rs199911028","C12orf55,rs199911028",12,96878349,97274333
"ENSG00000188906,ENSG00000225342","LRRK2,",12,40574811,40768087
ENSG00000197992,CLEC9A,12,10178276,10223565
ENSG00000198001,IRAK4,12,44147747,44188346
ENSG00000198431,TXNRD1,12,104604557,104749061
